"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/29/2024","AirNow","360010012","1","0.039","ppm","36","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/01/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/02/2024","AirNow","360010012","1","0.034","ppm","31","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/03/2024","AirNow","360010012","1","0.033","ppm","31","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/04/2024","AirNow","360010012","1","0.028","ppm","26","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/05/2024","AirNow","360010012","1","0.028","ppm","26","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/08/2024","AirNow","360010012","1","0.034","ppm","31","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/09/2024","AirNow","360010012","1","0.035","ppm","32","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/10/2024","AirNow","360010012","1","0.03","ppm","28","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/11/2024","AirNow","360010012","1","0.041","ppm","38","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/12/2024","AirNow","360010012","1","0.042","ppm","39","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/13/2024","AirNow","360010012","1","0.045","ppm","42","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/14/2024","AirNow","360010012","1","0.047","ppm","44","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/15/2024","AirNow","360010012","1","0.035","ppm","32","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/16/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/17/2024","AirNow","360010012","1","0.036","ppm","33","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/18/2024","AirNow","360010012","1","0.034","ppm","31","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/19/2024","AirNow","360010012","1","0.038","ppm","35","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
