,COMID,Date,Time,HUC_12,State,Temp.C,pH.std_units,Alkalinity.ueq/kgw,pCO2.uatm,CO2.mg/l
184,24407271,2002-05-22,12:30:00,170200150903,WA,13.3,8.2,1588.569,539.941712617749,1.14421219852034
185,24407271,2011-06-14,11:00:00,170200150903,WA,16.4,8.2,1770.4052,624.465137382363,1.19933409647808
186,24407271,2015-10-19,09:40:00,170200150903,WA,13.8,7.5,1982.2144,3421.44606191416,7.13374772555691
187,24407271,2004-07-07,08:30:00,170200150903,WA,17.9,7.8,1572.5834,1435.78250696098,2.63391040327146
188,24407271,2000-10-17,10:40:00,170200150903,WA,11.9,8.17,2158.056,769.670392077084,1.7077587836942
189,24407271,2001-05-21,12:23:00,170200150903,WA,16.2,8.5,1606.5528,279.824631646158,0.540777297673213
190,24407271,2009-10-14,10:35:00,170200150903,WA,10.1,7.7,1934.2576,2011.70031532537,4.74308783153294
191,24407271,2000-01-31,13:52:00,170200150903,WA,2.6,8.4,4296.13,799.679264657199,2.47550614947714
192,24407271,2003-04-09,15:35:00,170200150903,WA,14.5,8.1,1458.686,635.981791266601,1.29665907373884
193,24407271,2005-02-14,09:30:00,170200150903,WA,2.8,8.5,4875.608,717.177087924313,2.20292498839477
194,24407271,2010-05-25,11:20:00,170200150903,WA,13.8,8.2,1524.6266,521.70475168524,1.08781496579133
195,24407271,2017-10-16,12:24:00,170200150903,WA,12.1,8.95,3237.084,179.793044850286,0.39623076054526
196,24407271,2019-08-20,09:30:00,170200150903,WA,19.6,7.54,2377.858,4025.93501948984,7.01963538382072
197,24407271,1999-07-06,11:35:00,170200150903,WA,19.1,7.9,1900.2882,1394.21580955626,2.4672769954099
198,24407271,2001-07-31,15:50:00,170200150903,WA,21.7,8.47,1916.2738,383.622675927847,0.629461237748968
199,24407271,2009-06-09,10:28:00,170200150903,WA,16.7,7.8,1524.6266,1370.7582338693,2.60844673196984
200,24407271,2019-04-09,13:00:00,170200150903,WA,9.1,8.0,1892.2954,971.795137186142,2.37164945537695
201,24407271,2018-05-22,13:02:00,170200150903,WA,25.3,8.0,1868.317,1185.17659326124,1.76023558492978
202,24407271,2008-04-01,13:10:00,170200150903,WA,4.9,8.4,1556.5978,302.058570349704,0.85734805940949
203,947020450,2016-07-20,13:19:00,170200160305,WA,23.2,8.12,3596.76,1653.2775377385,2.60012638652241
204,947020450,2007-04-04,13:00:00,170200160305,WA,11.1,8.6,4515.932,572.427269493018,1.30419606287199
205,947020450,2020-05-20,13:07:00,170200160305,WA,17.5,8.7,4356.076,468.941585772858,0.870465076858073
206,947020450,2003-05-12,10:30:00,170200160305,WA,15.9,8.4,4016.382,867.019824088244,1.69080938440824
207,947020450,2018-07-24,11:10:00,170200160305,WA,25.8,8.64,3816.562,530.565811982462,0.777323992722327
208,947020450,2018-10-09,12:00:00,170200160305,WA,14.0,8.3,4575.878,1216.47821807739,2.51931020280271
209,947020450,2003-02-18,09:30:00,170200160305,WA,5.1,8.5,4455.986,671.619037565912,1.89154787813387
210,947020450,2018-05-21,12:36:00,170200160305,WA,22.9,8.36,4116.292,1069.71229890982,1.696364730132
211,947020450,2016-10-12,10:45:00,170200160305,WA,13.8,8.35,4396.04,1037.89493109944,2.16340058792605
212,947020450,2018-04-02,12:09:00,170200160305,WA,8.8,8.3,4695.77,1174.24485295768,2.89488335187729
213,947020450,2020-03-04,13:35:00,170200160305,WA,7.5,8.61,4795.68,570.266316504638,1.47185774497639
214,947020450,2009-07-13,08:50:00,170200160305,WA,22.6,8.3,3616.742,1081.31365037973,1.72933513907172
215,947020450,2017-07-19,11:30:00,170200160305,WA,26.1,8.27,3696.67,1245.18533281897,1.80983047308072
216,947020450,2002-05-15,10:25:00,170200160305,WA,15.3,8.6,4236.184,564.63656084255,1.12199409184794
217,947020450,2008-07-21,10:05:00,170200160305,WA,25.2,8.4,3636.724,890.377806195346,1.32568160105457
218,947020450,2008-03-31,08:30:00,170200160305,WA,6.9,8.2,4695.77,1452.32143300463,3.82997562525572
219,947020450,2011-02-08,07:55:00,170200160305,WA,3.7,7.7,4955.536,4715.89978233711,13.9965077725447
220,947020450,2018-02-12,13:16:00,170200160305,WA,4.6,8.4,4775.698,904.005230288128,2.59374836345391
221,947020450,2016-06-15,09:40:00,170200160305,WA,20.2,8.4,3696.67,844.99844644025,1.44743938165271
222,947020450,2015-10-14,08:30:00,170200160305,WA,15.6,8.1,4416.022,1912.08145936541,3.76382237352104
223,947020450,2007-06-04,09:00:00,170200160305,WA,23.4,8.5,3696.67,696.029603404195,1.08856951559195
224,947020450,2016-03-23,09:10:00,170200160305,WA,9.6,8.01,4815.662,2385.36543738767,5.71959798805221
225,947020450,2017-10-11,09:45:00,170200160305,WA,13.2,8.14,4675.788,1787.75295654684,3.79948206881325
226,947020450,2012-02-07,07:50:00,170200160305,WA,5.4,8.0,4875.608,2359.64232654335,6.57213785871595
227,947020450,2002-02-05,14:32:00,170200160305,WA,4.0,8.7,4875.608,452.344830907151,1.32738545867321
228,947020450,2017-06-13,09:30:00,170200160305,WA,20.8,8.3,4176.238,1214.29503922965,2.04401262270699
229,947020450,2012-07-17,10:00:00,170200160305,WA,25.5,8.5,3776.598,731.594244290815,1.08049776067788
230,947020450,2010-10-12,08:40:00,170200160305,WA,14.9,8.1,4495.95,1928.73921110488,3.88129358300379
